period,work_order,person,hours,charge_rate,description
202156,9300-3-3,Christopher Gregory,27.5,80,updating department budget
202192,9500-5-5,Deanna Russell,16.0,90,equipment maintenance
202182,9500-5-5,Mia Davis,3.9,80,research into teleportation
202055,9200-2-2,Samuel Cook,17.6,80,updating department budget
202117,9500-5-5,Kyle Smith,17.4,60,performance review analysis
202040,9300-3-3,Mia Davis,37.7,90,cybersecurity audit
202099,9200-2-2,William Hernandez,36.7,80,cybersecurity audit
202141,9500-5-5,Karen Gallegos,33.6,70,data migration project
202120,9500-5-5,Johnathan Pena,19.8,70,AI integration study
202033,9500-5-5,Kyle Smith,10.0,60,data migration project
202136,9100-1-1,Christopher Gregory,13.0,50,research into teleportation
202111,9500-5-5,Johnathan Pena,7.7,60,performance review analysis
202054,9300-3-3,Jennifer Hoffman,6.0,60,software development
202088,9400-4-4,Travis Lewis,12.3,60,research into teleportation
202150,9100-1-1,David Robinson,38.1,80,system upgrade implementation
202170,9300-3-3,Jessica Garner,26.9,50,cybersecurity audit
202157,9200-2-2,Tim Moreno,25.7,50,training new hires
202141,9500-5-5,John Allison,22.7,50,updating department budget
202146,9400-4-4,Samuel Cook,2.2,90,system upgrade implementation
202123,9500-5-5,Christina Scott,18.2,90,AI integration study
202166,9100-1-1,Abigail Contreras,32.3,60,data migration project
202118,9400-4-4,Karen Gallegos,9.9,70,data migration project
202105,9200-2-2,William Hernandez,31.5,90,system upgrade implementation
202115,9400-4-4,Dennis Hamilton,16.3,100,performance review analysis
202115,9400-4-4,Kimberly Russell,32.8,70,performance review analysis
202004,9200-2-2,Mike Shannon,27.5,100,updating department budget
202162,9100-1-1,Jessica Garner,23.5,70,training new hires
202094,9200-2-2,Dennis Hamilton,19.0,90,updating department budget
202024,9200-2-2,Christopher Gregory,17.1,100,system upgrade implementation
202142,9300-3-3,Tim Moreno,1.8,50,system upgrade implementation
202040,9400-4-4,Angel Parsons,5.5,80,training new hires
202196,9300-3-3,David Robinson,37.3,50,system upgrade implementation
202175,9300-3-3,Kyle Smith,8.8,50,cybersecurity audit
202151,9300-3-3,Samuel Cook,23.5,60,research into teleportation
202133,9300-3-3,Karen Gallegos,13.3,60,equipment maintenance
202150,9300-3-3,Christopher Powers,17.6,70,software development
202133,9400-4-4,Teresa Solis,6.6,50,updating department budget
202191,9500-5-5,David Robinson,12.0,100,AI integration study
202157,9300-3-3,Brian Wiggins,2.2,70,equipment maintenance
202212,9500-5-5,David Robinson,37.6,60,research into teleportation
202187,9200-2-2,Carolyn Fleming,22.7,50,performance review analysis
202166,9500-5-5,Samuel Cook,32.3,60,data migration project
202033,9500-5-5,Tim Moreno,24.5,60,updating department budget
202052,9300-3-3,Carolyn Fleming,26.5,60,AI integration study
202066,9400-4-4,Abigail Contreras,12.5,60,system upgrade implementation
202133,9100-1-1,John Allison,17.9,90,software development
202133,9300-3-3,David Robinson,28.4,60,updating department budget
202071,9200-2-2,Christopher Powers,29.0,60,training new hires
202029,9500-5-5,Sarah Wilson,18.1,100,performance review analysis
202067,9500-5-5,David Robinson,35.9,60,AI integration study
202020,9300-3-3,Samuel Cook,1.1,50,cybersecurity audit
202109,9200-2-2,Mia Davis,3.7,80,cybersecurity audit
202139,9500-5-5,Kimberly Russell,22.7,60,cybersecurity audit
202209,9500-5-5,Samuel Cook,36.2,80,data migration project
202069,9200-2-2,Dennis Hamilton,8.1,100,data migration project
202129,9100-1-1,David Robinson,33.0,60,updating department budget
202037,9300-3-3,Vincent Hunt,23.7,80,equipment maintenance
202080,9300-3-3,Samuel Cook,22.0,80,updating department budget
202197,9100-1-1,Travis Lewis,14.8,50,updating department budget
202196,9200-2-2,Vincent Hunt,24.6,50,equipment maintenance
202163,9200-2-2,Abigail Contreras,9.9,90,performance review analysis
202109,9200-2-2,Jennifer Sanchez,34.4,80,performance review analysis
202006,9100-1-1,Deanna Russell,37.5,60,system upgrade implementation
202118,9400-4-4,David Robinson,6.8,80,system upgrade implementation
202108,9200-2-2,Angel Parsons,38.3,70,equipment maintenance
202184,9100-1-1,Jennifer Sanchez,12.1,90,system upgrade implementation
202139,9100-1-1,Mia Davis,39.4,60,software development
202153,9200-2-2,Christina Scott,17.4,90,equipment maintenance
202129,9100-1-1,Jennifer Hoffman,2.4,70,cybersecurity audit
202179,9100-1-1,Christina Scott,24.8,90,cybersecurity audit
202121,9200-2-2,Karen Gallegos,9.0,100,data migration project
202015,9400-4-4,Mia Davis,25.2,90,training new hires
202199,9200-2-2,John Allison,3.1,70,system upgrade implementation
202119,9200-2-2,Mike Shannon,15.2,70,data migration project
202166,9400-4-4,John Allison,19.6,90,equipment maintenance
202212,9300-3-3,Travis Lewis,6.2,90,equipment maintenance
202184,9400-4-4,Samuel Cook,19.4,90,updating department budget
202052,9200-2-2,Darlene Fischer,34.3,90,updating department budget
202179,9300-3-3,Mia Davis,31.1,70,equipment maintenance
202191,9100-1-1,Christopher Powers,30.9,70,data migration project
202129,9400-4-4,Brian Wiggins,31.3,80,performance review analysis
202054,9500-5-5,Johnathan Pena,29.3,100,software development
202048,9100-1-1,Vincent Hunt,14.5,50,equipment maintenance
202122,9100-1-1,Darlene Fischer,5.6,70,updating department budget
202104,9500-5-5,Kyle Smith,37.2,60,software development
202079,9100-1-1,Kyle Smith,10.3,80,updating department budget
202020,9300-3-3,Christopher Gregory,17.4,90,AI integration study
202132,9200-2-2,Karen Gallegos,27.0,50,software development
202110,9200-2-2,John Adams,35.5,100,system upgrade implementation
202130,9300-3-3,Kyle Smith,9.0,60,updating department budget
202082,9400-4-4,William Hernandez,8.1,50,software development
